Questions,Category
"Hello", small_talk_data
"Hello", small_talk_data
"Hello", small_talk_data
"Hello", small_talk_data
"Hi", small_talk_data
"Hi", small_talk_data
"Hi", small_talk_data
"Hi", small_talk_data
"Hi", small_talk_data
"thanks", small_talk_data
"What day is it today", small_talk_data
"What day is it today", small_talk_data
"What day is it today", small_talk_data
"What day is it today", small_talk_data
"What day is it today", small_talk_data
"What day is it today", small_talk_data
"What time is it", small_talk_data
"What time is it", small_talk_data
"What is the time", small_talk_data
"Howdy", small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"How are you?",small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your name?", small_talk_data
"What's your favorite color?",small_talk_data
"How's the weather today?",small_talk_data
"What did you do over the weekend?",small_talk_data
"Do you like coffee or tea?",small_talk_data
"What's your favorite movie?",small_talk_data
"What kind of music do you like?",small_talk_data
"Do you have any pets?",small_talk_data
"What's your favorite hobby?",small_talk_data
"How was your day?",small_talk_data
"Do you enjoy traveling?",small_talk_data
"What's your favorite book?",small_talk_data
"Do you have any siblings?",small_talk_data
"What's your dream vacation?",small_talk_data
"Do you prefer cats or dogs?",small_talk_data
"What's your favorite food?",small_talk_data
"What are your weekend plans?",small_talk_data
"Do you like watching sports?",small_talk_data
"What's your favorite season?",small_talk_data
"What time do you usually wake up?",small_talk_data
"Do you enjoy cooking?",small_talk_data
"What’s your favorite holiday?",small_talk_data
"What’s the best gift you’ve ever received?",small_talk_data
"What do you usually do in your free time?",small_talk_data
"Do you like going to the beach?",small_talk_data
"What’s your favorite type of dessert?",small_talk_data
"Do you enjoy gardening?",small_talk_data
"What’s your favorite childhood memory?",small_talk_data
"What’s your go-to comfort food?",small_talk_data
"Do you enjoy playing video games?",small_talk_data
"Do you like working out?",small_talk_data
"What’s your favorite subject in school?",small_talk_data
"What’s the most interesting place you’ve ever visited?",small_talk_data
"Do you enjoy attending concerts?",small_talk_data
"Do you like meeting new people?",small_talk_data
"What’s your favorite type of weather?",small_talk_data
"Do you enjoy watching movies at home or in theaters?",small_talk_data
"What’s your favorite drink?",small_talk_data
"Do you prefer mountains or beaches?",small_talk_data
"What’s your favorite animal?",small_talk_data
"What kind of TV shows do you like?",small_talk_data
"What’s your favorite childhood cartoon?",small_talk_data
"Do you enjoy camping?",small_talk_data
"What’s your favorite sports team?",small_talk_data
"Do you enjoy board games?",small_talk_data
"How do you usually spend your evenings?",small_talk_data
"Do you like working in teams or independently?",small_talk_data
"Have you ever tried skydiving?",small_talk_data
"Do you prefer sweet or savory snacks?",small_talk_data
"What’s your favorite holiday tradition?",small_talk_data
"Do you like attending art galleries?",small_talk_data
"What’s your favorite type of exercise?",small_talk_data
"What’s the best concert you’ve ever been to?",small_talk_data
"Do you enjoy listening to podcasts?",small_talk_data
"What’s your favorite thing about your city?",small_talk_data
"Do you prefer the city or the countryside?",small_talk_data
"Have you ever been on a cruise?",small_talk_data
"Do you like learning new skills?",small_talk_data
"What’s your favorite type of pizza topping?",small_talk_data
"Do you enjoy baking?",small_talk_data
"Have you ever been to a theme park?",small_talk_data
"Do you like solving puzzles?",small_talk_data
"How do you relax after a busy day?",small_talk_data
"Do you enjoy road trips?",small_talk_data
"What’s the most adventurous thing you’ve ever done?",small_talk_data
"Do you like trying new cuisines?",small_talk_data
"Have you ever been to a music festival?",small_talk_data
"Do you prefer sunrise or sunset?",small_talk_data
"Do you like visiting historical landmarks?",small_talk_data
"What’s your favorite type of art?",small_talk_data
"What’s your favorite childhood toy?",small_talk_data
"Do you enjoy swimming?",small_talk_data
"Have you ever taken a painting class?",small_talk_data
"What’s your favorite type of cake?",small_talk_data
"Do you enjoy writing?",small_talk_data
"Do you like walking in the rain?",small_talk_data
"What’s your dream job?",small_talk_data
"Do you enjoy photography?",small_talk_data
"What’s your favorite flower?",small_talk_data
"Do you enjoy listening to audiobooks?",small_talk_data
"Have you ever been to a zoo?",small_talk_data
"Do you like attending parades?",small_talk_data
"Do you enjoy hiking?",small_talk_data
"Have you ever been to a lighthouse?",small_talk_data
"Do you enjoy knitting or crafting?",small_talk_data
"What’s your favorite festival?",small_talk_data
"What’s your favorite type of cuisine?",small_talk_data
"Do you prefer coffee or hot chocolate?",small_talk_data
"Have you ever traveled abroad?",small_talk_data
"What’s your favorite TV series?",small_talk_data
"Do you enjoy outdoor activities?",small_talk_data
"What’s the best book you’ve read recently?",small_talk_data
"Do you prefer mornings or evenings?",small_talk_data
"What’s your go-to breakfast?",small_talk_data
"Have you ever been to a concert?",small_talk_data
"What’s your favorite ice cream flavor?",small_talk_data
"Do you enjoy visiting museums?",small_talk_data
"What’s the best advice you’ve ever received?",small_talk_data
"Do you enjoy stargazing?",small_talk_data
"Have you ever learned a musical instrument?",small_talk_data
"What’s your favorite thing to do on a lazy Sunday?",small_talk_data
"Do you prefer reading books or watching movies?",small_talk_data
"Have you ever gone scuba diving?",small_talk_data
"What’s your dream car?",small_talk_data
"Do you like attending live theater performances?",small_talk_data
"What’s your favorite type of sandwich?",small_talk_data
"Do you enjoy spending time in nature?",small_talk_data
"What’s the most interesting documentary you’ve watched?",small_talk_data
"Do you like experimenting with recipes?",small_talk_data
"What’s your favorite board game?",small_talk_data
"Do you enjoy ice skating?",small_talk_data
"Have you ever ridden a horse?",small_talk_data
"What’s your favorite childhood memory?",small_talk_data
"Do you prefer summer or winter?",small_talk_data
"Have you ever seen a shooting star?",small_talk_data
"What’s your favorite drink at a café?",small_talk_data
