Questions,Category
"""What is the capital of France?""","qanda_dataset"
"""How do I boil an egg?""","qanda_dataset"
"""What’s the weather like today?""","qanda_dataset"
"""How do I convert kilograms to pounds?""","qanda_dataset"
"""What’s the best way to learn a new language?""","qanda_dataset"
"""How do I set up an email account?""","qanda_dataset"
"""How far is the moon from Earth?""","qanda_dataset"
"""What is the tallest mountain in the world?""","qanda_dataset"
"""How do I bake a chocolate cake?""","qanda_dataset"
"""What is the population of the United States?""","qanda_dataset"
"""How do I improve my public speaking skills?""","qanda_dataset"
"""What is the meaning of life?""","qanda_dataset"
"""How do I change a flat tire?""","qanda_dataset"
"""What is the fastest animal on land?""","qanda_dataset"
"""How do I make a cup of coffee?""","qanda_dataset"
"""What’s the best way to save money?""","qanda_dataset"
"""How do I write a resume?""","qanda_dataset"
"""What is the speed of light?""","qanda_dataset"
"""How do I tie a tie?""","qanda_dataset"
"""What is the closest planet to the Sun?""","qanda_dataset"
"""How do I cancel a subscription service?""","qanda_dataset"
"""What is the difference between a virus and bacteria?""","qanda_dataset"
"""How do I book a flight online?""","qanda_dataset"
"""What is the largest ocean on Earth?""","qanda_dataset"
"""How do I improve my time management skills?""","qanda_dataset"
"""What’s the best way to start a conversation?""","qanda_dataset"
"""How do I create a budget plan?""","qanda_dataset"
"""What is the chemical formula for water?""","qanda_dataset"
"""How do I clean a coffee stain?""","qanda_dataset"
"""What is the best way to stay hydrated?""","qanda_dataset"
"""How do I set up a Zoom meeting?""","qanda_dataset"
"""What is the difference between debit and credit?""","qanda_dataset"
"""How do I unlock my phone?""","qanda_dataset"
"""What is the smallest country in the world?""","qanda_dataset"
"""How do I create a strong password?""","qanda_dataset"
"""What’s the best way to organize my files?""","qanda_dataset"
"""How do I improve my handwriting?""","qanda_dataset"
"""What is the definition of democracy?""","qanda_dataset"
"""How do I download an app?""","qanda_dataset"
"""What is the capital city of Japan?""","qanda_dataset"
"""How do I create a playlist on Spotify?""","qanda_dataset"
"""What’s the best way to relieve stress?""","qanda_dataset"
"""How do I recycle plastic waste?""","qanda_dataset"
"""What is the difference between a smartphone and a tablet?""","qanda_dataset"
"""How do I find my Wi-Fi password?""","qanda_dataset"
"""What is the largest desert in the world?""","qanda_dataset"
"""How do I send a package via courier?""","qanda_dataset"
"""How do I fix a leaking faucet?""","qanda_dataset"
"""What’s the best way to learn coding?""","qanda_dataset"
"""How do I choose the right car insurance?""","qanda_dataset"
