Plan Name,Day,Focus,Exercise,Sets/Reps,Recommended RIR,% of 1RM
Powerlifting Program,Day 1,Squat Focus,Back Squat,"4x4",1-2,85%
Powerlifting Program,Day 1,Squat Focus,Front Squat,"3x5",2,80%
Powerlifting Program,Day 1,Squat Focus,Leg Press,"3x8",2-3,70%
Powerlifting Program,Day 1,Squat Focus,Hamstring Curls,"3x10",2-3,N/A
Powerlifting Program,Day 1,Squat Focus,Planks,"3 sets (30-60s)",N/A,N/A
Powerlifting Program,Day 2,Bench Focus,Bench Press,"4x4",1-2,85%
Powerlifting Program,Day 2,Bench Focus,Incline Bench Press,"3x5",2,80%
Powerlifting Program,Day 2,Bench Focus,Dumbbell Flyes,"3x8",2-3,60%
Powerlifting Program,Day 2,Bench Focus,Triceps Extensions,"3x10",2-3,N/A
Powerlifting Program,Day 2,Bench Focus,Seated Row,"3x8",2-3,60%
Powerlifting Program,Day 3,Deadlift Focus,Deadlift,"4x3",1-2,85%
Powerlifting Program,Day 3,Deadlift Focus,Rack Pulls,"3x5",2,80%
Powerlifting Program,Day 3,Deadlift Focus,Good Mornings,"3x8",2-3,60%
Powerlifting Program,Day 3,Deadlift Focus,Hamstring Curls,"3x10",2-3,N/A
Powerlifting Program,Day 3,Deadlift Focus,Hanging Leg Raises,"3x10",N/A,N/A
Powerlifting Program,Day 4,Overhead Press Focus,Overhead Press,"4x5",2,80%
Powerlifting Program,Day 4,Overhead Press Focus,Pull-Ups or Lat Pulldowns,"3x6-8",2-3,N/A
Powerlifting Program,Day 4,Overhead Press Focus,Barbell Row,"3x6-8",2-3,70%
Powerlifting Program,Day 4,Overhead Press Focus,Bicep Curls,"3x8-10",2-3,N/A
Powerlifting Program,Day 4,Overhead Press Focus,Additional Accessories (Weak Points),"2-3 exercises",N/A,N/A
Powerlifting Program,Day 5,Squat Variation,Pause Squats,"3x5",2,80%
Powerlifting Program,Day 5,Squat Variation,Front Squats,"3x5",2,75%
Powerlifting Program,Day 5,Squat Variation,Bulgarian Split Squats,"3x8",2-3,N/A
Powerlifting Program,Day 5,Squat Variation,Glute Bridges,"3x10",2-3,N/A
Powerlifting Program,Day 5,Squat Variation,Side Planks,"3 sets (30-60s)",N/A,N/A
Powerlifting Program,Day 6,Bench Variation,Close-Grip Bench Press,"3x5",2,80%
Powerlifting Program,Day 6,Bench Variation,Incline Dumbbell Press,"3x6-8",2-3,70%
Powerlifting Program,Day 6,Bench Variation,Dips,"3x8-10",2-3,N/A
Powerlifting Program,Day 6,Bench Variation,Face Pulls,"3x10",2-3,N/A
Powerlifting Program,Day 6,Bench Variation,Rear Delt Flyes,"3x10",2-3,N/A
Powerlifting Program,Day 7,Deadlift Variation,Deficit Deadlifts,"3x3-5",2,80%
Powerlifting Program,Day 7,Deadlift Variation,Romanian Deadlifts,"3x6-8",2-3,70%
Powerlifting Program,Day 7,Deadlift Variation,Hip Thrusts,"3x8-10",2-3,N/A
Powerlifting Program,Day 7,Deadlift Variation,Hyperextensions,"3x10",2-3,N/A
Powerlifting Program,Day 7,Deadlift Variation,Side Planks,"3 sets (30-60s)",N/A,N/A
